 DBN,frequency,Block type,Status,BNL shipment,Shipped on,Comment,Prototype,Fiber type,Fiber batch,Filling time (h),FF date,Filled by,Checked by,W powder,W bucket number,Mold number,Empty mold (g),Filled mold (g),W filling mass (g),fibers loaded by,W filling date,W filled by,Epoxy batch,Resin mass (g),Hardener mass (g),potting notes,Epoxy filling time (min),Epoxy filling date,Epoxy preparer,Delta Mach-Pot,Machining date,Machined by,L (in),BT (in),BB (in),BH (in),ST (in),SB (in),SH (in),Volume (mL),Measured by,Mass (g),Measured by,Density(g/mL),Tested on,# Fibers N,Good end,ABS N-W (%),# Fibers / # Holes (%),10-15(%),15-50(%),50-75(%),r75 (%),R,T1(BL) Fiber %,T2(BR) Fiber %,T3(TL) Fiber %,T4(TR) Fiber %, missing row?,13 connected holes?,FOM_N,FOM_I,Tested by,Tested on,Scintillation (mV),Calibration (mV),Ratio (Calibrated Twice),Tested by,Tested on,Natural Pictures,Tested by,Retouch,Density Result Checked?,Light Checked?,Natural Pictures checked?,Sector ID (SSCR),LT M/D/YYYY,Days Mach-LT,Scint M/D/YYYY,Block Grade,De,Di,LT,LTQ,Vi,Sci,Pic,X,LT-all,DBN,S-left,S-right,column,row,relative W weight,Δ(L) [mm],Δ(BT) [mm],Δ(BB) [mm],Δ(BH) [mm],Δ(ST) [mm],Δ(SB) [mm],Δ(SH) [mm]
1400,151,123,7,11,1/23/2020,,Sector 1-12,SG47,14-A,0.28,6/27/2019,Saad,Mason,HCS,HCS-17,5A,1190,5170,3980,AS,10/29/2019,EP,5,120,30,d35g,6,10/29/2019,ET,-43767,,,5.4433,2.0942,2.0715,1.9928,1.8270,1.8043,1.9943,346.7,Zander,3106,Zander,8.96,20191112,2659,W,0.1125,99.66,0.0752,1.1282,3.3095,4.5,0.160,99.2504,99.8501,100,99.5502,N,N,,,Saad,20191113,128.273,156.806,0.818,Mason,20191113,20191114,Zander,,Saad,Mason,Mason,02C2,43782,43782,43782,5b,5a,5b,5a,5a,5a,5a,1,1,5a,1400,0,2,C,2,,-1.44018,0.23368,-0.3429,0.09652,0.3048,-0.27178,0.13462
1401,152,123,7,22,9/22/2020,,Sector 1-12,SG47,14-A,0.50,6/27/2019,Mason,Emily,HCS,HCS-43,5E,1195,4895,3700,SA,9/3/2020,SA,8,110,25,d40g,1.5,9/3/2020,ET,11,9/14/2020,AW,5.5030,2.0720,2.0620,1.9960,1.8310,1.8140,1.9960,350.1,AW,3128,AW,8.93,20200914,2665,W,0.2624,99.89,0.0000,0.4128,3.4522,3.9,0.121,100,100.9,99.7001,98.9505,N,N,,,Mason,20200916,308.316,199.031,1.549,Zander,20200916.1,20200916,Mason,,Saad,Adin,Adin,09C3,44090,2,44090,5b,5a,5b,5a,5a,5a,5a,1,1,5a,1401,0,9,C,3,,0.0762,-0.3302,-0.5842,0.1778,0.4064,-0.0254,0.1778
1402,153,123,7,24,10/19/2020,,Sector 1-12,SG47,14-A,0.27,6/27/2019,Saad,Mason,HCS,HCS-46,5A,1185,4960,3775,SA,9/24/2020,SA,8,110,25,d40g,2,9/24/2020,ET,11,10/5/2020,AW,5.5020,2.0990,2.0850,1.9930,1.8210,1.8010,1.9940,350.8,AW,3186,AW,9.08,20201005,2662,W,0.1874,99.78,0.0376,0.6386,4.2825,5.0,0.137,100.6,100.3,99.5502,98.6507,N,N,,,Mason,20201006.2,388.952,216.78,1.794,Mason,20201007.1,20201006,Mason,,Adin,Adin,Adin,11D1,44110,1,44111,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1402,1,1,D,1,,0.0508,0.3556,0,0.1016,0.1524,-0.3556,0.127
1403,154,123,7,24,10/19/2020,37864C,Sector 1-12,SG47,15-B,0.50,7/17/2019,Mason,,HCS,HCS-46,5F,1185,4935,3750,SA,9/24/2020,SA,8,110,25,d40g,1.5,9/24/2020,ET,11,10/5/2020,AW,5.5010,2.0820,2.0790,1.9950,1.8050,1.8160,1.9960,350.0,AW,3182,AW,9.09,20201005,2659,W,0.2249,99.66,0.0376,0.7522,3.1215,3.9,0.128,99.7001,100.3,99.1004,99.5502,N,N,,,Mason,20201006.2,360.297,216.78,1.662,Mason,20201007.1,20201006,Mason,,Adin,Adin,Adin,11C3,44110,1,44111,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1403,1,1,C,3,,0.0254,-0.0762,-0.1524,0.1524,-0.254,0.0254,0.1778
1404,155,123,7,24,10/19/2020,37848A,Sector 1-12,SG47,15-B,0.22,7/17/2019,Emily,Tim,HCS,HCS-46,5D,1190,4915,3725,SA,9/24/2020,SA,8,110,25,d40g,2,9/24/2020,ET,11,10/5/2020,AW,5.4880,2.0770,2.0740,1.9980,1.8150,1.8150,1.9950,349.3,AW,3140,AW,8.99,20201005,2657,W,0.4873,99.59,0.0753,1.3926,3.8766,5.3,0.128,100,99.5502,97.6012,101.199,N,N,,,Mason,20201006.2,406.453,216.78,1.875,Mason,20201007.1,20201006,Mason,,Adin,Adin,Adin,12C3,44110,1,44111,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1404,1,2,C,3,,-0.3048,-0.2032,-0.2794,0.2286,0,0,0.1524
1405,156,123,7,19,8/3/2020,,Sector 1-12,SG47,2-A,2.50,11/16/2018,Nabeeha,,HCS,HCS-36,5F,1190,5165,3975,SA,6/30/2020,SA,7,110,25,d40g,2.5,7/1/2020,ET,7,7/8/2020,AW,5.5000,2.0770,2.0720,1.9890,1.8180,1.8060,1.9880,348.3,AW,3180,AW,9.13,20200709,2620,W,0.3748,98.20,0.0763,1.1450,3.8550,5.1,0.149,96.2519,97.6012,99.4003,99.5502,N,N,,,Mason,20200709,377.222,277.362,1.360,Mason,20200710,20200709,Mason,,Saad,Saad,Saad,06C3,44021,1,44022,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1405,0,6,C,3,,0,-0.2032,-0.3302,0,0.0762,-0.2286,-0.0254
1406,157,123,7,22,9/22/2020,,Sector 1-12,SG47,14-B,0.33,8/18/2020,Erin,Saad,HCS,HCS-43,5C,1200,4830,3630,SA,9/3/2020,ET,8,110,25,d40g,1.5,9/3/2020,ET,11,9/14/2020,AW,5.5030,2.0740,2.0760,1.9940,1.8240,1.8200,1.9940,350.4,AW,3052,AW,8.71,20200914,2658,W,0.4498,99.63,0.0376,1.2415,6.2829,7.6,0.146,100,100.9,99.1004,98.5007,N,N,,,Mason,20200916,272.826,199.031,1.371,Zander,20200916.1,20200916,Mason,,Saad,Adin,Adin,09D1,44090,2,44090,5b,5b,5a,5a,5a,5a,5a,1,1,5a,1406,0,9,D,1,,0.0762,-0.2794,-0.2286,0.127,0.2286,0.127,0.127
1407,158,123,7,24,10/19/2020,,Sector 1-12,SG47,14-B,0.42,8/18/2020,Erin,Mason,HCS,HCS-46,5F,1190,4795,3605,SA,9/25/2020,ET,8,110,25,d40g,1.5,9/25/2020,ET,12,10/7/2020,AW,5.5000,2.0750,2.0790,1.9930,1.8220,1.8180,1.9930,350.1,AW,3060,AW,8.74,20201007,2663,W,1.4243,99.81,0.1127,0.8261,3.5299,4.5,0.125,100.45,100.9,99.2504,98.6507,N,N,,,Mina,20201008.1,328.007,184.016,1.782,Mina,20201008.1,20201008,Mina,,Adin,Adin,Adin,12C2,44112,1,44112,5b,5b,5a,5a,5a,5a,5a,1,1,5a,1407,1,2,C,2,,0,-0.254,-0.1524,0.1016,0.1778,0.0762,0.1016
1408,159,123,7,24,10/19/2020,,Sector 1-12,SG47,14-B,0.42,8/18/2020,Erin,Mason,HCS,HCS-46,5D,1195,4890,3695,SA,9/25/2020,ET,8,110,25,d40g,1.5,9/25/2020,ET,12,10/7/2020,AW,5.5000,2.0760,2.0780,1.9920,1.8230,1.8100,1.9940,349.7,AW,3098,AW,8.86,20201007,2661,W,0.1874,99.74,0.0000,0.1127,2.5930,2.7,0.105,99.5502,100,99.1004,100.3,N,N,,,Mina,20201008.1,310.435,184.016,1.687,Mina,20201008.1,20201008,Mina,,Adin,Adin,Adin,12D3,44112,1,44112,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1408,1,2,D,3,,0,-0.2286,-0.1778,0.0762,0.2032,-0.127,0.127
1409,160,123,7,24,10/19/2020,,Sector 1-12,SG47,14-B,0.42,8/18/2020,Erin,Mason,HCS,HCS-46,5C,1195,4860,3665,SA,9/25/2020,ET,8,110,25,d40g,2,9/25/2020,ET,12,10/7/2020,AW,5.5000,2.0860,2.0820,1.9920,1.8180,1.8160,1.9930,350.3,AW,3098,AW,8.84,20201007,2663,W,0.1874,99.81,0.0000,0.2253,2.7788,3.0,0.098,99.7001,100,99.8501,99.7001,N,N,,,Erin,20201008,447.479,240.55,1.860,Saad,20201008,20201008,Erin,,Adin,Adin,Adin,12A1,44112,1,44112,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1409,1,2,A,1,,0,0.0254,-0.0762,0.0762,0.0762,0.0254,0.1016
1410,161,123,7,25,10/26/2020,,Sector 1-12,SG47,14-B,0.33,8/18/2020,Erin,Mason,HCS,HCS-46,5A,1190,4835,3645,SA,9/25/2020,ET,8,110,25,d40g,1.5,9/25/2020,ET,10,10/5/2020,AW,5.5030,2.0700,2.0740,1.9940,1.8120,1.8090,1.9900,348.8,AW,3122,AW,8.95,20201005,2661,W,0.2623,99.74,0.0376,0.3758,2.5554,3.0,0.116,99.8501,100,99.5502,99.5502,N,N,,,Mason,20201006.2,396.889,216.78,1.831,Mason,20201007.1,20201006,Mason,,Adin,Adin,Adin,12B1,44110,1,44111,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1410,1,2,B,1,,0.0762,-0.381,-0.2794,0.127,-0.0762,-0.1524,0.0254
1411,162,123,7,24,10/19/2020,,Sector 1-12,SG47,14-B,0.50,8/19/2020,Erin,Mason,HCS,HCS-46,5E,1190,4850,3660,SA,9/25/2020,ET,8,110,25,d40g,1.5,9/25/2020,ET,12,10/7/2020,AW,5.5000,2.0850,2.0780,1.9950,1.8180,1.8200,1.9900,350.3,AW,3110,AW,8.88,20201007,2666,W,0.2623,99.93,0.0750,99.8125,0.0000,99.9,0.089,99.8501,100.15,99.8501,99.8501,N,N,,,Erin,20201008,421.354,240.55,1.752,Saad,20201008,20201008,Erin,,Adin,Adin,Adin,12D2,44112,1,44112,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1411,1,2,D,2,,0,0,-0.1778,0.1524,0.0762,0.127,0.0254
1412,0,none,none,,,converted to S13-64,,SG47,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0.0,,,,#DIV/0!,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,#DIV/0!,#N/A,#NUM!,#NUM!,#N/A,#NUM!,FALSE,FALSE,#NUM!,1412,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1413,52,7,7,23,10/5/2020,,Sector 1-12,SG47,12-B,0.33,8/19/2020,Erin,Mason,HCS,HCS-44,6,1165,4925,3760,SA,9/14/2020,SA,8,110,25,d40g,4,9/14/2020,ET,8,9/22/2020,AW,5.2090,2.0700,2.0480,2.2480,1.8380,1.8100,1.9920,352.7,AW,3226,AW,9.15,20200922,2664,W,0.1874,99.85,0.0375,1.2387,4.5420,5.8,0.152,99.7001,99.7001,100,100,N,N,,,Mason,20200923.2,360.087,207.72,1.734,Zander,20200923,20200923,Mason,,Adin,Mina,Mina,10A7,44097,1,44097,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1413,1,0,A,7,,0.1016,-0.381,-0.4318,0.127,0.1524,-0.127,0.0508
1414,53,7,7,24,10/19/2020,,Sector 1-12,SG47,12-B,0.33,8/19/2020,Erin,Mason,HCS,HCS-42,6,1165,4855,3690,SA,8/28/2020,VM,8,110,25,d40g,3,8/28/2020,ET,42,10/9/2020,AW,5.1830,2.0750,2.0560,2.2470,1.8310,1.8140,1.9930,351.4,AW,3196,AW,9.09,20201009,2657,W,1.1244,99.59,0.0753,2.2206,8.9198,11.2,0.203,100.45,98.8006,99.2504,99.8501,N,N,,,Mason,20200915,248.403,199.031,1.248,Zander,20200916.1,20200923,Mason,,Adin,Adin,Mina,12B7,44089,-24,44090,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1414,1,2,B,7,,-0.5588,-0.254,-0.2286,0.1016,-0.0254,-0.0254,0.0762
1415,54,7,7,23,10/5/2020,,Sector 1-12,SG47,12-B,0.33,8/19/2020,Erin,Mason,HCS,HCS-44,7,1175,4980,3805,SA,9/11/2020,SA,8,110,25,d40g,2,9/11/2020,ET,11,9/22/2020,AW,5.2070,2.0650,2.0490,2.2480,1.8000,1.8070,1.9920,350.6,AW,3232,AW,9.22,20200922,2662,W,0.2624,99.78,0.0000,0.4132,4.7709,5.2,0.121,99.8501,100,99.8501,99.4003,N,N,,,Mason,20200923.2,398.272,207.72,1.917,Zander,20200923,20200923,Mason,,Adin,Mina,Mina,10B7,44097,1,44097,5b,5a,5b,5a,5a,5a,5a,1,1,5a,1415,1,0,B,7,,0.0508,-0.508,-0.4064,0.127,-0.8128,-0.2032,0.0508
1416,55,7,7,23,10/5/2020,12-B/15-B,Sector 1-12,SG47,12-B,0.42,8/19/2020,Erin,Mason,HCS,HCS-45,7,1180,5005,3825,SA,9/16/2020,SA,8,110,25,d40g,2,9/16/2020,ET,7,9/23/2020,AW,5.2010,2.0750,2.0610,2.2540,1.8080,1.7940,1.9970,352.0,AW,3270,AW,9.29,20200924,2659,W,1.0120,99.66,0.1128,99.8120,0.0000,99.9,0.102,99.1004,99.7001,99.7001,100.15,N,N,,,Adin / Erin,20201001,234.236,187.964,1.246,Adin,20200925,20201001,Mina,,Adin,Mina,Adin,10C7,44105,8,44099,5b,5a,5b,5a,5a,5a,5a,1,1,5a,1416,1,0,C,7,,-0.1016,-0.254,-0.1016,0.2794,-0.6096,-0.5334,0.1778
1417,56,7,7,22,9/22/2020,,Sector 1-12,SG47,15-B,0.50,8/19/2020,Erin,Mason,HCS,HCS-42,6,1170,4950,3780,SA,8/26/2020,SA,8,110,25,d40g,2,8/26/2020,ET,14,9/9/2020,AW,5.2050,2.0850,2.0560,2.2400,1.8350,1.8120,1.9820,352.0,AW,3252,AW,9.24,20200909,2667,W,0.6746,99.96,0.0375,1.2748,6.1867,7.5,0.157,100.15,99.8501,100,99.8501,N,N,,,Mina,20200910,196.674,179.468,1.096,Adin,20200911,20200910,Mina,,Adin,Adin,Adin,10D7,44084,1,44085,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1417,1,0,D,7,,0,0,-0.2286,-0.0762,0.0762,-0.0762,-0.2032
1418,57,7,8,,,died in machining,Sector 1-12,SG47,15-B,0.50,8/19/2020,Erin,Mason,HCS,HCS-44,5,1160,4875,3715,SA,9/11/2020,SA,8,110,25,d40g,2,9/11/2020,ET,-44085,,,,,,,,,,0.0,,,,#DIV/0!,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,#NUM!,319.344,304.396,1.049,Erin,20201022,,,,,,,,#NUM!,#NUM!,44126,not finished testing,#DIV/0!,8,#NUM!,#NUM!,#N/A,5a,FALSE,FALSE,#NUM!,1418,,,,,,-132.207,-52.959,-52.451,-56.9722,-46.5328,-46.101,-50.546
1419,58,7,7,24,10/19/2020,,Sector 1-12,SG47,15-B,0.42,8/19/2020,Erin,Mason,HCS,HCS-43,6,1165,4915,3750,SA,9/1/2020,ET,8,110,25,d40g,1.5,9/1/2020,ET,15,9/16/2020,AW,5.2100,2.0780,2.0540,2.2450,1.8320,1.8080,1.9860,352.4,AW,3176,AW,9.01,20200916,2654,W,0.8621,99.48,0.0377,3.6549,8.8922,12.6,0.202,100.75,98.3508,99.1004,99.7001,N,N,,,Mason,20201006,303.75,199.018,1.526,Saad,20200928,20201006,Mason,,Adin,Adin,Adin,13A7,44110,20,44102,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1419,1,3,A,7,,0.127,-0.1778,-0.2794,0.0508,0,-0.1778,-0.1016
1420,59,7,8,,,died in machining,Sector 1-12,SG47,15-B,0.50,8/19/2020,Erin,Mason,HCS,HCS-45,5,1170,4880,3710,SA,9/16/2020,SA,8,110,25,d40g,1.5,9/16/2020,ET,7,9/23/2020,AW,5.2010,2.0710,2.0320,2.2370,1.8350,1.8040,1.9840,349.5,AW,3198,AW,9.15,20200924,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,#NUM!,222.606,304.396,0.731,Erin,20201022,,,,Adin,,,,#NUM!,#NUM!,44126,not finished testing,5a,5b,#NUM!,#NUM!,#N/A,5a,FALSE,FALSE,#NUM!,1420,,,,,,-0.1016,-0.3556,-0.8382,-0.1524,0.0762,-0.2794,-0.1524
1421,60,7,7,23,10/5/2020,,Sector 1-12,SG47,15-B,0.50,8/20/2020,Erin,Mason,HCS,HCS-43,7,1180,5000,3820,SA,8/28/2020,SA,8,110,25,d40g,2,8/28/2020,ET,19,9/16/2020,AW,5.2090,2.0880,2.0590,2.2490,1.8290,1.8030,1.9920,353.5,AW,3274,AW,9.26,20200916,2653,W,0.1125,99.44,0.0000,0.4523,3.1662,3.6,0.123,99.2504,99.2504,99.8501,99.4003,N,N,,,Erin,20201002.1,341.465,199.018,1.716,Saad,20200928,20201002.1,Erin,,Adin,Adin,Adin,11C7,44106,16,44102,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1421,1,1,C,7,,0.1016,0.0762,-0.1524,0.1524,-0.0762,-0.3048,0.0508
1422,61,7,7,24,10/19/2020,,Sector 1-12,SG47,15-B,0.50,8/20/2020,Erin,Mason,HCS,HCS-45,6,1165,4975,3810,SA,9/16/2020,SA,8,110,25,d40g,4,9/16/2020,ET,7,9/23/2020,AW,5.1980,2.0800,2.0570,2.2460,1.8350,1.8050,1.9890,352.1,AW,3256,AW,9.25,20200924,2660,W,0.2623,99.70,0.0000,0.4887,3.6842,4.2,0.131,100.75,99.1004,99.8501,99.1004,N,N,,,Erin,20201002,274.724,187.964,1.462,Adin,20200925,20201002,Erin,,Adin,Adin,Adin,12C7,44106,9,44099,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1422,1,2,C,7,,-0.1778,-0.127,-0.2032,0.0762,0.0762,-0.254,-0.0254
1423,62,7,7,23,10/5/2020,,Sector 1-12,SG47,15-B,0.42,8/20/2020,Erin,Mason,HCS,HCS-43,7,1185,4880,3695,SA,9/3/2020,ET,8,110,25,d40g,1.5,9/3/2020,ET,20,9/23/2020,AW,5.2010,2.0740,2.0590,2.2500,1.8090,1.8010,1.9940,351.6,AW,3132,AW,8.91,20200924,2662,W,0.8621,99.78,0.1127,0.5635,4.9211,5.6,0.129,100.3,99.4003,99.8501,99.5502,N,N,,,Mina,20201001.1,243.605,187.964,1.296,Adin,20200925,20201002.2,Erin,,Adin,Adin,Adin,11B7,44105,8,44099,5b,5a,5b,5a,5a,5a,5a,1,1,5a,1423,1,1,B,7,,-0.1016,-0.2794,-0.1524,0.1778,-0.5842,-0.3556,0.1016
1424,63,7,7,23,10/5/2020,,Sector 1-12,SG47,15-B,0.50,8/20/2020,Erin,Mason,HCS,HCS-45,7,1180,4990,3810,SA,9/18/2020,VM,8,110,25,d40g,2,9/18/2020,ET,6,9/24/2020,AW,5.2020,2.0850,2.0580,2.2380,1.8240,1.7950,1.9950,351.5,AW,3226,AW,9.18,20200924,2653,W,3.0735,99.44,0.1885,4.0332,12.7403,17.0,0.229,99.5502,99.1004,99.5502,99.5502,N,N,,,Adin / Saad,20200930.1,271.031,199.018,1.362,Saad,20200928,20201001,Mina,,Adin,Mina,Adin,11D7,44104,6,44102,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1424,1,1,D,7,,-0.0762,0,-0.1778,-0.127,-0.2032,-0.508,0.127
1425,64,7,7,22,9/22/2020,15-B/31-A,Sector 1-12,SG47,15-B,0.42,8/20/2020,Erin,Jerome,HCS,HCS-42,7,1180,4950,3770,SA,8/25/2020,SA,8,110,25,d40g,1.5,8/25/2020,ET,9,9/3/2020,AW,5.2070,2.0880,2.0400,2.2480,1.8380,1.7950,1.9920,352.4,AW,3232,AW,9.17,20200903,2644,W,0.3373,99.10,0.0756,0.8321,3.6309,4.5,0.135,98.2009,100.15,99.5502,98.5007,N,N,,,Will/Mason,20200909,364.405,170.522,2.137,Zander,20200909.2,20200909,Mason,,Adin,Mason,Mina,09A7,44083,6,44083,5b,5a,5b,5a,5a,5a,5a,1,1,5a,1425,0,9,A,7,,0.0508,0.0762,-0.635,0.127,0.1524,-0.508,0.0508
1426,51,8,7,23,10/5/2020,,Sector 1-12,SG47,12-A,0.42,8/21/2020,Erin,Jerome,HCS,HCS-45,6,1175,5105,3930,SA,9/18/2020,VM,8,110,25,d40g,4,9/18/2020,ET,7,9/25/2020,AW,5.1520,2.0920,2.0620,2.2420,1.8350,1.8070,1.9930,349.8,AW,3254,AW,9.30,20200925,2661,W,0.7121,99.74,0.0000,0.3758,3.7580,4.1,0.121,100.45,99.5502,99.2504,99.7001,N,N,,,Erin,20200929,239.389,187.964,1.274,Adin,20200925,20200929,Erin,,Saad,Mina,Mina,10B8,44103,4,44099,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1426,1,0,B,8,,-0.0762,0.1778,0.0508,0.2032,-0.0508,-0.2032,0.1016
1427,52,8,7,22,9/22/2020,,Sector 1-12,SG47,12-A,0.42,8/21/2020,Erin,Saad,HCS,HCS-42,7,1170,4960,3790,SA,8/25/2020,SA,8,110,25,d40g,1.5,8/25/2020,ET,9,9/3/2020,AW,5.1540,2.0820,2.0530,2.2430,1.8460,1.8100,1.9970,350.1,AW,3254,AW,9.30,20200903,2654,N,0.0375,99.48,0.1507,3.2027,10.3994,13.8,0.193,98.6507,99.8501,99.8501,99.5502,N,N,,,Will/Mason,20200909,252.44,170.522,1.480,Zander,20200909.2,20200909,Mason,,Adin,Mason,Mina,09B8,44083,6,44083,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1427,0,9,B,8,,-0.0254,-0.0762,-0.1778,0.2286,0.2286,-0.127,0.2032
1428,53,8,7,23,10/5/2020,12-A/15-B,Sector 1-12,SG47,15-B,0.50,8/21/2020,Erin,Saad,HCS,HCS-44,6,1175,4935,3760,SA,9/11/2020,SA,8,110,25,d40g,4,9/11/2020,ET,12,9/23/2020,AW,5.1520,2.0890,2.0540,2.2360,1.8480,1.8050,1.9870,348.8,AW,3204,AW,9.19,20200924,2656,W,1.7991,99.55,0.0377,1.3178,7.5678,8.9,0.173,99.8501,100,99.2504,99.1004,N,N,,,Adin / Saad,20200930.1,358.344,199.018,1.801,Saad,20200928,20201001,Mina,,Adin,Mina,Adin,11D8,44104,7,44102,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1428,1,1,D,8,,-0.0762,0.1016,-0.1524,0.0508,0.2794,-0.254,-0.0508
1429,54,8,7,22,9/22/2020,,Sector 1-12,SG47,15-B,0.50,8/21/2020,Erin,Saad,HCS,HCS-43,6,1175,5005,3830,SA,9/1/2020,ET,8,110,25,d40g,1.5,9/1/2020,ET,13,9/14/2020,AW,5.1570,2.0890,2.0550,2.2400,1.8250,1.7800,1.9960,348.2,AW,3198,AW,9.18,20200914,2636,W,1.7241,98.80,0.2656,2.1624,8.3460,10.8,0.185,100.15,99.2504,97.3013,98.5007,N,N,,,Mason,20200916,218.677,199.031,1.099,Zander,20200916.1,20200916,Mason,,Saad,Adin,Adin,09D8,44090,2,44090,5b,5a,5b,5a,5a,5a,5a,1,1,5a,1429,0,9,D,8,,0.0508,0.1016,-0.127,0.1524,-0.3048,-0.889,0.1778
1430,55,8,7,23,10/5/2020,,Sector 1-12,SG47,15-B,0.50,8/21/2020,Erin,Vishwa,HCS,HCS-45,5,1150,4980,3830,SA,9/15/2020,SA,8,110,25,d40g,2,9/15/2020,ET,8,9/23/2020,AW,5.1500,2.0600,2.0480,2.2410,1.8300,1.8170,1.9900,347.4,AW,3214,AW,9.25,20200924,2650,W,2.6611,99.33,0.1509,2.3019,8.4528,10.9,0.179,99.7001,98.3508,99.8501,99.4003,N,N,,,Adin / Saad,20200930.1,232.699,199.018,1.169,Saad,20200928,20201001,Mina,,Adin,Mina,Adin,11C8,44104,7,44102,5b,5a,5b,5a,5a,5a,5a,1,1,5a,1430,1,1,C,8,,-0.127,-0.635,-0.3048,0.1778,-0.1778,0.0508,0.0254
1431,56,8,7,25,10/26/2020,,Sector 1-12,SG47,15-B,0.50,8/21/2020,Erin,Vishwa,HCS,HCS-48,5,1150,4945,3795,SA,10/14/2020,SA,8,110,25,d40g,3,10/14/2020,ET,5,10/19/2020,AW,5.1520,2.0660,2.0400,2.2380,1.8370,1.8160,1.9950,347.8,AW,3198,AW,9.19,20201019,2620,N,0.0375,98.20,0.1145,1.0305,4.0840,5.2,0.138,96.5517,98.9505,98.6507,98.6507,N,N,,,Mason,20201020.1,221.732,194.028,1.143,Adin,20201020,20201020,Mason,,Adin,Adin,Adin,12C8,44124,1,44124,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1431,1,2,C,8,,-0.0762,-0.4826,-0.508,0.1016,0,0.0254,0.1524
1432,57,8,7,23,10/5/2020,,Sector 1-12,SG47,15-B,0.42,8/21/2020,Erin,Saad,HCS,HCS-44,7,1165,4920,3755,SA,9/11/2020,SA,8,110,25,d40g,4,9/11/2020,ET,14,9/25/2020,AW,5.1520,2.0780,2.0580,2.2390,1.8290,1.8040,1.9940,348.4,AW,3208,AW,9.21,20200925,2654,W,2.3239,99.48,0.1884,5.4635,8.7415,14.4,0.227,99.4003,99.7001,99.4003,99.4003,N,N,,,Adin / Saad,20200930.1,225.725,199.018,1.134,Saad,20200928,20201001,Mina,,Saad,Mina,Adin,11B8,44104,5,44102,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1432,1,1,B,8,,-0.0762,-0.1778,-0.0508,0.127,-0.2032,-0.2794,0.127
1433,58,8,7,23,10/5/2020,,Sector 1-12,SG47,15-B,0.50,8/21/2020,Erin,Saad,HCS,HCS-45,7,1165,5095,3930,SA,9/18/2020,SA,8,110,25,d40g,3,9/18/2020,ET,7,9/25/2020,AW,5.1520,2.0820,2.0600,2.2360,1.8270,1.7980,1.9960,348.3,AW,3228,AW,9.27,20200925,2627,W,3.3733,98.46,0.1903,2.6266,5.7861,8.6,0.175,99.4003,98.6507,97.4513,98.3508,N,N,,,Adin / Saad,20200930.1,269.572,199.018,1.355,Saad,20200928,20201001,Mina,,Saad,Mina,Adin,11A8,44104,5,44102,5a,5a,5a,5a,5a,5a,5a,1,1,5a,1433,1,1,A,8,,-0.0762,-0.0762,0,0.0508,-0.254,-0.4318,0.1778
1434,59,8,7,23,10/5/2020,,Sector 1-12,SG47,15-B,0.42,8/21/2020,Erin,Saad,HCS,HCS-45,6,1180,5055,3875,SA,9/15/2020,SA,8,110,25,d40g,2,9/15/2020,ET,8,9/23/2020,AW,5.1520,2.0630,2.0450,2.2390,1.8400,1.8150,1.9910,347.8,AW,3228,AW,9.28,20200924,2662,W,2.6237,99.78,0.1127,5.0714,9.0533,14.2,0.220,100.6,99.5502,99.8501,99.1004,N,N,,,Adin / Saad,20200930.1,386.832,199.018,1.944,Saad,20200928,20201001,Mina,,Adin,Mina,Adin,12A8,44104,7,44102,5b,5a,5b,5a,5a,5a,5a,1,1,5a,1434,1,2,A,8,,-0.0762,-0.5588,-0.381,0.127,0.0762,0,0.0508
